Date,Open,High,Low,Close,Volume,Adj Close
2010-01-20,3.58,3.70,3.58,3.70,23900,3.26
2010-01-19,3.55,3.68,3.53,3.68,128600,3.24
2010-01-18,3.60,3.70,3.60,3.68,25900,3.24
2010-01-15,3.57,3.62,3.57,3.58,106700,3.16
2010-01-14,3.49,3.55,3.49,3.53,41800,3.11
2010-01-13,3.43,3.50,3.43,3.49,134700,3.08
2010-01-12,3.58,3.60,3.40,3.40,85500,3.00
2010-01-11,3.74,3.76,3.63,3.65,85200,3.22
2010-01-08,3.78,3.78,3.72,3.75,51900,3.31
2010-01-07,3.70,3.80,3.65,3.80,35500,3.35
2010-01-06,3.70,3.76,3.70,3.72,65800,3.28
2010-01-05,3.98,3.98,3.74,3.74,195700,3.30
2010-01-04,3.65,3.74,3.65,3.71,83200,3.27
2010-01-01,3.70,3.70,3.70,3.70,000,3.26
2009-12-31,3.72,3.72,3.67,3.70,77100,3.26
2009-12-30,3.72,3.72,3.67,3.70,77100,3.26
2009-12-29,3.75,3.75,3.75,3.75,000,3.31
2009-12-28,3.70,3.79,3.70,3.75,25000,3.31
2009-12-25,3.72,3.72,3.72,3.72,000,3.28
2009-12-24,3.67,3.75,3.67,3.72,43600,3.28
2009-12-23,3.67,3.75,3.67,3.72,43600,3.28
2009-12-22,3.56,3.70,3.56,3.65,70600,3.22
2009-12-21,3.40,3.60,3.40,3.56,70000,3.14
2009-12-18,3.40,3.40,3.33,3.37,17000,2.97
2009-12-17,3.36,3.39,3.35,3.35,48100,2.95
2009-12-16,3.30,3.40,3.30,3.35,106400,2.95
2009-12-15,3.36,3.36,3.30,3.30,41900,2.91
2009-12-14,3.28,3.38,3.28,3.38,33300,2.98
2009-12-11,3.26,3.28,3.25,3.28,36500,2.89
2009-12-10,3.24,3.26,3.23,3.26,45200,2.87
2009-12-09,3.20,3.21,3.20,3.21,20900,2.83
2009-12-08,3.23,3.24,3.17,3.24,65200,2.86
2009-12-07,3.23,3.24,3.17,3.24,65200,2.86
2009-12-04,3.21,3.23,3.20,3.23,6400,2.85
2009-12-03,3.24,3.29,3.21,3.21,66700,2.83
2009-12-02,3.19,3.23,3.19,3.23,67900,2.85
2009-12-01,3.05,3.19,3.05,3.06,76800,2.70
2009-11-30,3.00,3.03,3.00,3.02,100200,2.66
2009-11-27,2.89,3.00,2.89,2.97,20800,2.62
2009-11-26,2.99,2.99,2.99,2.99,000,2.64
2009-11-25,3.00,3.03,2.99,2.99,23000,2.64
2009-11-24,3.00,3.03,2.99,2.99,25000,2.64
2009-11-23,3.04,3.04,3.04,3.04,000,2.68
2009-11-20,3.06,3.06,3.01,3.04,38300,2.68
2009-11-19,3.06,3.10,3.06,3.10,34200,2.73
2009-11-18,3.01,3.12,3.01,3.12,119100,2.75
2009-11-17,3.00,3.04,2.99,2.99,149100,2.64
2009-11-16,3.11,3.11,2.99,3.00,206500,2.65
2009-11-13,3.19,3.19,3.06,3.10,96000,2.73
2009-11-12,3.23,3.27,3.15,3.19,29400,2.81
2009-11-11,3.22,3.22,3.22,3.22,000,2.79
2009-11-10,3.19,3.22,3.19,3.22,21400,2.79
2009-11-09,3.25,3.26,3.15,3.19,62200,2.76
2009-11-06,3.30,3.30,3.23,3.25,12500,2.82
2009-11-05,3.30,3.30,3.23,3.25,12500,2.82
